id,lat,lng,severity, over
5307,50.0773081066,16.9592597483,2,"DDT, Oktylfenol"
3636,49.6469670260,18.3827032277,3,"Chrom, Nikl, hexachlorbenzen"
5316,50.5496084880,13.6006362689,3,"Měď, hexachlorbenzen"
15306,50.6133335377,14.5926878113,0,
4122_S,50.4037716168,17.0345410163,1,
5516,50.5062309241,13.4832448015,3,"Rtut, DDT"
1181,49.4578936617,17.7654055448,2,"Bisfenol A, Benzen"
BPPJu013,49.0508097600,15.4394205902,2,"Měď"
DPPMD017,48.8851078525,16.2162865779,3,"Nikl"
DPPSk008,48.8972048356,16.5884425297,0,
DPNNM009,50.3447749067,12.7075046186,3,"Měď, Rtut, dichlorbenzen"
1712,49.5683483368,18.3563031977,0,
5573,49.0452247608,16.6187307100,3,"Nikl"
1185,49.3569609395,16.4026241875,2,"Kadmium"
SPPBo007,50.6197413238,13.4131315062,3,"Zinek, Bisfenol A, dichlorbenzen"
1269,50.6556352964,14.7280589757,3,"Chrom, Měď, hexachlorbenzen"
3502,49.1165191099,16.5791164253,0,
3954,49.9196762425,16.9435306317,1,
3639,49.0997940686,16.1964187123,2,"Olovo, DDT"
3725,50.6706086535,14.6480690526,1,
1060,49.5724193080,17.7275604250,0,
3682,50.8748228269,14.2434498060,0,
1127,50.1380612381,12.4296773154,1,
15375,50.3630080856,13.7186876532,2,"Bisfenol A, Benzen, dichlorbenzen"
15385,49.4239043947,15.9861378790,1,
JPTMo003,50.2415037294,17.7210055351,3,"Rtut, Bisfenol A, Benzen"
5580,49.7414492297,17.6942876257,0,
5545,49.0943348350,16.6204726690,0,
1199,50.0991994312,17.6905593305,3,"p,p'DDT, o,p'DDT, Oktylfenol"
3566,49.5096384267,17.5392110957,3,"Chrom, Olovo, dichlorbenzen"
BPPBe014,50.4780726087,13.1109151042,2,"Kadmium, Zinek"
1159,49.4860297563,16.1353563187,2,"Kadmium, Rtut, Olovo"
SPPBo006,48.7684180459,16.8513093939,1,
KPPVc010,50.5060288795,13.6840888988,3,"hexachlorbenzen"
1120,49.9521844798,16.8743774454,0,
3546,48.8945813204,15.8172582996,3,"Nikl"
DPPDy004,50.0272048312,12.3706724156,3,"Chrom"
3969,50.7725338621,14.2033162541,2,"Chrom, DDT"
1109,49.0309726324,17.7125864798,2,"Nikl, Oktylfenol, Benzen"
ZPPOv009,50.4155616559,12.8712981370,1,
1145,49.0290574844,17.3828445060,1,
ZPPDR025,49.0959145994,17.5008328290,0,
ZPPBn004,50.3396768370,12.5204427169,1,
1612,50.5178789452,13.3287880320,3,"Chrom, Rtut, DDT"
1169,50.1976010336,12.8595373818,0,
1557,50.3165755817,13.6038646884,2,"Olovo"
1116,50.4218882790,13.4768253448,0,
1266,49.1216341889,17.4759508784,2,"Měď, Rtut"
ZPPKD014,48.8541482538,16.0448163824,3,"Oktylfenol, dichlorbenzen"
1191,49.8911628790,18.3279964379,2,"Oktylfenol"
5031,49.6180936255,17.9209719022,2,"Chrom, Rtut, DDT"
5008,50.6904093238,14.5130923488,3,"Rtut, dichlorbenzen"
1113,49.7130026665,16.7633536799,0,
XPPJe009,49.0190875275,17.6585862457,2,"DDT, Chlorbenzen"
ZPPNi001,50.2899981013,13.4349753720,2,"Chlorbenzen"
1479,50.0454814093,12.3946516175,3,"Nikl, o,p'DDT"
1157,49.0792443580,17.7138534566,2,"Kadmium, hexachlorbenzen, dichlorbenzen"
ZPPLD019,50.5420031753,13.7632505815,1,
1085,49.5946136971,17.3250404832,0,
3770,49.3081207908,16.9320555989,0,
YPTOp001,49.6544673110,18.3818695280,3,"hexachlorbenzen, Nonylfenol, Benzen"
5317,50.2629858677,12.2447268044,3,"Nonylfenol"
3493,48.9111372538,17.3124246183,0,
3684,48.8873356016,16.7294075039,1,
KPPSt001,49.9931388821,17.8184949904,0,
5111,49.5995069771,17.2511340327,0,
1133,49.0338402337,16.6201331614,0,
1180,50.6775795244,13.6103550144,1,
1193,49.2268491456,17.8634973170,3,"Měď"
ZPPLt012,50.5051578321,14.2307938554,2,"Oktylfenol"
4108_S,50.1077132530,12.3966321867,2,"hexachlorbenzen, Benzen"
1398,49.8855999764,18.4882959693,1,
5420,48.8384956834,17.1313391646,2,"Chrom, hexachlorbenzen"
1139,49.7451891352,16.9318943865,0,
1166,49.3494683513,17.9509470603,3,"Chrom"
1170,50.4989503068,13.1367545940,2,"Olovo, hexachlorbenzen"
1150,49.4558309827,18.4699176077,1,
5305,50.2171439557,12.4422328548,0,
15376,49.6703052861,18.3229750313,3,"Rtut, Oktylfenol"
5325,50.5145508055,13.4008608401,3,"Olovo, hexachlorbenzen, dichlorbenzen"
1178,50.4999343987,13.0333283988,1,
3472,49.5850087193,18.5574425748,1,
5322,50.7005329338,14.8383167906,3,"Měď, hexachlorbenzen"
1053,49.9120499689,17.8924905922,3,"Nonylfenol, Bisfenol A"
3585,49.8158817487,18.2099188464,3,"Olovo, Chlorbenzen"
5024,49.2458447026,15.4555756999,2,"Kadmium, Benzen"
JPPTP018,50.7169000449,13.6164733668,2,"o,p'DDT, Benzen"
3461,50.4141170883,12.8761739253,1,
1146,49.6670008957,18.3504582664,2,"Olovo, o,p'DDT, Oktylfenol"
3784,48.9073958777,16.1960050688,2,"DDT, p,p'DDT"
DPPJv015,49.0995207071,15.8630665099,1,
JPPRy022,48.7593277518,16.2457271664,0,
DPPDa006,50.1186904575,12.4614752422,3,"Rtut"
4111_S,49.1084607205,17.2250071066,0,
KPTKo002,50.3801519105,17.1931703127,2,"Nikl, p,p'DDT"
5514,49.6992701595,16.0607021394,1,
SPTVi011,49.0260310274,17.1264499615,0,
KPPKY012,49.6751601296,17.2470639852,0,
XPPSk017,49.2210178152,17.8536789976,0,
ZPPBK013,49.4759539999,17.1398813764,1,
YPPHl002,48.8785799946,17.2801712683,1,
ZPPRa026,49.7350399969,18.1843516396,0,
5021,49.2887015692,17.7820178218,1,
ZPTSl002,50.1748977260,12.6201517109,0,
1212,50.2038387174,12.4302562122,1,
4112_S,50.2351995807,12.8709927714,1,
1113,49.5636173484,18.5504944055,2,"DDT"
5574,50.5799051539,13.8053911423,3,"Benzen"
1087,49.7269855269,18.1315665104,0,
3625,49.6637354013,17.9843827573,0,
1159,50.6132338244,14.5922669689,1,
1360,49.9359297381,17.3467600275,2,"Rtut, Chlorbenzen"
3578,50.1469727139,12.5676178719,3,"dichlorbenzen"
1397,49.3646554064,16.0164646407,2,"Chrom"
JPPOs014,49.5694249133,16.5038270200,3,"Chrom, DDT"
